zip_code,total_population, male, female
78602,"25,160","13,344","11,816"
78605,"4,952","2,474","2,478"
78606,"5,205","2,594","2,611"
78607,166,84,82
78608,434,223,211
78609,"2,012","1,009","1,003"
78610,"23,502","11,704","11,798"
78611,"12,977","6,214","6,763"
78612,"11,457","5,813","5,644"
78613,"65,099","31,834","33,265"
78614,456,240,216
78615,"1,290",634,656
78616,"7,092","3,667","3,425"
78617,"22,210","11,985","10,225"
78618,324,173,151
78619,"3,026","1,520","1,506"
78620,"14,367","7,241","7,126"
78621,"21,659","10,779","10,880"
78622,296,149,147
78623,813,411,402
78624,"21,513","10,315","11,198"
78626,"25,996","13,122","12,874"
78628,"23,727","11,463","12,264"
78629,"11,887","5,923","5,964"
78631,"2,395","1,176","1,219"
78632,910,482,428
78633,"19,349","9,158","10,191"
78634,"22,791","11,152","11,639"
78635,149,73,76
78636,"3,749","1,911","1,838"
78638,"2,005","1,017",988
78639,"7,334","3,511","3,823"
78640,"42,954","21,666","21,288"
78641,"44,295","22,045","22,250"
78642,"9,467","4,763","4,704"
78643,"6,139","2,923","3,216"
78644,"17,081","8,511","8,570"
78645,"9,773","5,010","4,763"
78648,"7,683","3,669","4,014"
78650,"1,599",821,778
78652,"4,466","2,288","2,178"
78653,"16,375","8,141","8,234"
78654,"17,553","8,646","8,907"
78655,"2,739","1,373","1,366"
78656,"2,271","1,159","1,112"
78657,"5,509","2,696","2,813"
78659,"2,903","1,431","1,472"
78660,"68,789","33,565","35,224"
78661,335,161,174
78662,"2,268","1,140","1,128"
78663,746,376,370
78664,"52,932","25,980","26,952"
78665,"35,985","17,620","18,365"
78666,"63,836","32,138","31,698"
78669,"8,731","4,484","4,247"
78670,168,79,89
78671,654,331,323
78672,931,474,457
78675,188,95,93
78676,"12,602","6,094","6,508"
78677,92,48,44
78681,"50,606","25,057","25,549"
78701,"6,841","4,260","2,581"
78702,"21,334","10,887","10,447"
78703,"19,690","9,744","9,946"
78704,"42,117","21,261","20,856"
78705,"31,340","15,990","15,350"
78712,860,432,428
78717,"22,538","11,015","11,523"
78719,"1,764",908,856
78721,"11,425","5,572","5,853"
78722,"5,901","2,986","2,915"
78723,"28,330","14,569","13,761"
78724,"21,696","11,181","10,515"
78725,"6,083","2,988","3,095"
78726,"13,122","6,492","6,630"
78727,"26,689","13,304","13,385"
78728,"20,299","10,015","10,284"
78729,"27,108","13,427","13,681"
78730,"7,955","3,985","3,970"
78731,"24,614","12,014","12,600"
78732,"14,060","6,978","7,082"
78733,"8,762","4,397","4,365"
78734,"17,655","8,943","8,712"
78735,"16,131","7,797","8,334"
78736,"6,946","3,419","3,527"
78737,"12,081","5,965","6,116"
78738,"12,134","5,990","6,144"
78739,"16,792","8,283","8,509"
78741,"44,935","23,969","20,966"
78742,820,410,410
78744,"42,820","21,661","21,159"
78745,"55,614","27,813","27,801"
78746,"26,928","13,319","13,609"
78747,"14,808","7,345","7,463"
78748,"40,651","19,670","20,981"
78749,"34,449","16,863","17,586"
78750,"26,814","13,248","13,566"
78751,"14,385","7,766","6,619"
78752,"18,064","9,778","8,286"
78753,"49,301","25,647","23,654"
78754,"15,036","7,464","7,572"
78756,"7,194","3,606","3,588"
78757,"21,310","10,453","10,857"
78758,"44,072","23,014","21,058"
78759,"38,891","19,048","19,843"