,zip_code,complaint_count,crime_reports,median_household_income($),population_below_poverty_level(%),unemployment(%),total_population,male(%),female(%)
0,78745,31381,2108,49243,16,7,55614,50.01078865,49.98921135
1,78704,29674,2380,50248,21,7,42117,50.48080348,49.51919652
2,78702,25203,1497,34734,33,11,21334,51.03121777,48.96878223
3,78744,22108,1807,41056,26,9,42820,50.58617468,49.41382532
4,78758,21741,2281,41792,24,10,44072,52.21909602,47.78090398
5,78723,21723,1960,41869,29,10,28330,51.42605012,48.57394988
6,78753,19572,2904,39593,26,9,49301,52.02125718,47.97874282
7,78741,19115,3121,30183,40,9,44935,53.34149327,46.65850673
8,78703,16460,650,92606,10,4,19690,49.48704926,50.51295074
9,78701,16404,1963,68152,20,9,6841,62.27159772,37.72840228
10,78748,16256,1273,65889,9,6,40651,48.38749354,51.61250646
11,78757,14883,1048,55156,16,6,21310,49.05208822,50.94791178
12,78759,14406,1117,65672,7,7,38891,48.97791263,51.02208737
13,78749,13815,738,80956,6,4,34449,48.95062266,51.04937734
14,78731,13582,497,78265,9,4,24614,48.80962054,51.19037946
15,78705,12989,1099,11917,66,14,31340,51.02105935,48.97894065
16,78751,11622,883,38624,26,9,14385,53.9867918,46.0132082
17,78721,10030,475,32131,32,16,11425,48.7702407,51.2297593
18,78724,9734,506,35711,38,8,21696,51.53484513,48.46515487
19,78752,8610,1229,33271,32,9,18064,54.12976085,45.87023915
20,78727,8245,494,65687,11,6,26689,49.84825209,50.15174791
21,78746,6872,741,125327,5,4,26928,49.46152704,50.53847296
22,78756,6620,320,59685,9,4,7194,50.12510425,49.87489575
23,78754,6127,387,53274,11,9,15036,49.64086193,50.35913807
24,78739,5581,143,126525,1,4,16792,49.32706051,50.67293949
25,78722,5386,248,44917,19,8,5901,50.60159295,49.39840705
26,78735,4840,270,74571,6,4,16131,48.33550307,51.66449693
27,78747,4702,212,,,,14808,49.60156672,50.39843328
28,78750,4236,308,75958,7,6,26814,49.40702618,50.59297382
29,78617,3276,258,,,,22210,53.9621792,46.0378208
30,78726,2235,205,66096,9,4,13122,49.47416552,50.52583448
31,78736,2067,114,,,,6946,49.22257414,50.77742586
32,78725,1839,68,,,,6083,49.12049975,50.87950025
33,78730,1760,46,119573,4,3,7955,50.09428033,49.90571967
34,78660,1696,154,,,,68789,48.7941386,51.2058614
35,78728,1549,4,47405,14,6,20299,49.33740578,50.66259422
36,78732,1081,1,127726,3,5,14060,49.63015647,50.36984353
37,78734,950,,,,,17655,50.65420561,49.34579439
38,78742,836,54,34076,37,11,820,50,50
39,78719,619,156,,,,1764,51.4739229,48.5260771
40,78733,608,,,,,8762,50.18260671,49.81739329
41,78729,563,513,57358,8,7,27108,49.53150362,50.46849638
42,78653,555,39,,,,16375,49.71603053,50.28396947
43,78712,412,5,,,,860,50.23255814,49.76744186
44,78652,346,16,,,,4466,51.23152709,48.76847291
45,78737,266,1,,,,12081,49.37505173,50.62494827
46,78738,184,,,,,12134,49.36541948,50.63458052
47,78610,31,,,,,23502,49.80001702,50.19998298
48,78641,28,,,,,44295,49.76859691,50.23140309
49,79739,13,,,,,,,
50,78613,10,312,,,,65099,48.90090478,51.09909522
51,78669,6,,,,,8731,51.35723285,48.64276715
52,78717,2,280,93305,3,5,22538,48.87301446,51.12698554
53,78621,1,,,,,21659,49.76684057,50.23315943
54,78620,1,,,,,14367,50.40022273,49.59977727
55,78645,1,,,,,9773,51.26368566,48.73631434